classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
166474651,mantes,1874195,bdc3d7499dd92cfcda75,11170,PCH_seco_faltantes_rev,1.1,2019-05-18 20:57:26 UTC,,,"{""source"":""api"",""session"":""c48ce039eab6872229ab6effbeb6c48eca6f04dead49dd0afedc30664a72e9cd"",""viewport"":{""width"":1366,""height"":657},""started_at"":""2019-05-18T20:56:31.606Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-05-18T20:57:23.399Z"",""live_project"":true,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":820,""clientHeight"":580,""naturalWidth"":1403,""naturalHeight"":992},{""clientWidth"":700,""clientHeight"":494,""naturalWidth"":700,""naturalHeight"":494}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-05-18T20:56:33.669Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21414""}","[{""task"":""T0"",""task_label"":""Clasificar el segmento"",""value"":""TF estable""}]","{""33529848"":{""retired"":{""id"":44300359,""workflow_id"":11170,""classifications_count"":1,""created_at"":""2019-05-17T17:10:58.781Z"",""updated_at"":""2019-05-18T20:57:26.428Z"",""retired_at"":""2019-05-18T20:57:26.421Z"",""subject_id"":33529848,""retirement_reason"":""classification_count""},"""":""16"",""X"":""pch_f_242563_HD.png"",""image"":""pch_f_242563.png"",""id"":""242563""}}",33529848
166478469,mantes,1874195,bdc3d7499dd92cfcda75,11170,PCH_seco_faltantes_rev,1.1,2019-05-18 21:24:23 UTC,,,"{""source"":""api"",""session"":""c48ce039eab6872229ab6effbeb6c48eca6f04dead49dd0afedc30664a72e9cd"",""viewport"":{""width"":1366,""height"":657},""started_at"":""2019-05-18T20:57:23.436Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-05-18T21:24:20.367Z"",""live_project"":true,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":820,""clientHeight"":580,""naturalWidth"":1403,""naturalHeight"":992},{""clientWidth"":700,""clientHeight"":494,""naturalWidth"":700,""naturalHeight"":494}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-05-18T20:56:33.669Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21414""}","[{""task"":""T0"",""task_label"":""Clasificar el segmento"",""value"":""TF estable""}]","{""33529846"":{""retired"":{""id"":44300331,""workflow_id"":11170,""classifications_count"":1,""created_at"":""2019-05-17T17:10:32.725Z"",""updated_at"":""2019-05-18T21:24:24.076Z"",""retired_at"":""2019-05-18T21:24:23.935Z"",""subject_id"":33529846,""retirement_reason"":""classification_count""},"""":""14"",""X"":""pch_f_226654_HD.png"",""image"":""pch_f_226654.png"",""id"":""226654""}}",33529846
166478522,mantes,1874195,bdc3d7499dd92cfcda75,11170,PCH_seco_faltantes_rev,1.1,2019-05-18 21:24:42 UTC,,,"{""source"":""api"",""session"":""c48ce039eab6872229ab6effbeb6c48eca6f04dead49dd0afedc30664a72e9cd"",""viewport"":{""width"":1366,""height"":657},""started_at"":""2019-05-18T21:24:20.400Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-05-18T21:24:39.967Z"",""live_project"":true,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":820,""clientHeight"":580,""naturalWidth"":1403,""naturalHeight"":992},{""clientWidth"":700,""clientHeight"":494,""naturalWidth"":700,""naturalHeight"":494}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-05-18T20:56:33.669Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21414""}","[{""task"":""T0"",""task_label"":""Clasificar el segmento"",""value"":""OT estable""}]","{""33529850"":{""retired"":{""id"":44300341,""workflow_id"":11170,""classifications_count"":1,""created_at"":""2019-05-17T17:10:57.402Z"",""updated_at"":""2019-05-18T21:24:43.122Z"",""retired_at"":""2019-05-18T21:24:43.114Z"",""subject_id"":33529850,""retirement_reason"":""classification_count""},"""":""17"",""X"":""pch_f_251977_HD.png"",""image"":""pch_f_251977.png"",""id"":""251977""}}",33529850
166478569,mantes,1874195,bdc3d7499dd92cfcda75,11170,PCH_seco_faltantes_rev,1.1,2019-05-18 21:24:59 UTC,,,"{""source"":""api"",""session"":""c48ce039eab6872229ab6effbeb6c48eca6f04dead49dd0afedc30664a72e9cd"",""viewport"":{""width"":1366,""height"":657},""started_at"":""2019-05-18T21:24:39.995Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-05-18T21:24:57.019Z"",""live_project"":true,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":820,""clientHeight"":580,""naturalWidth"":1403,""naturalHeight"":992},{""clientWidth"":700,""clientHeight"":494,""naturalWidth"":700,""naturalHeight"":494}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-05-18T20:56:33.669Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21414""}","[{""task"":""T0"",""task_label"":""Clasificar el segmento"",""value"":""OT estable""}]","{""33529830"":{""retired"":{""id"":44300408,""workflow_id"":11170,""classifications_count"":1,""created_at"":""2019-05-17T17:11:34.333Z"",""updated_at"":""2019-05-18T21:24:59.859Z"",""retired_at"":""2019-05-18T21:24:59.851Z"",""subject_id"":33529830,""retirement_reason"":""classification_count""},"""":""3"",""X"":""pch_f_167438_HD.png"",""image"":""pch_f_167438.png"",""id"":""167438""}}",33529830
166478644,mantes,1874195,bdc3d7499dd92cfcda75,11170,PCH_seco_faltantes_rev,1.1,2019-05-18 21:25:29 UTC,,,"{""source"":""api"",""session"":""c48ce039eab6872229ab6effbeb6c48eca6f04dead49dd0afedc30664a72e9cd"",""viewport"":{""width"":1366,""height"":657},""started_at"":""2019-05-18T21:24:57.037Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-05-18T21:25:26.381Z"",""live_project"":true,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":820,""clientHeight"":580,""naturalWidth"":1403,""naturalHeight"":992},{""clientWidth"":700,""clientHeight"":494,""naturalWidth"":700,""naturalHeight"":494}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-05-18T20:56:33.669Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21414""}","[{""task"":""T0"",""task_label"":""Clasificar el segmento"",""value"":""TF perdida 2006-2013""}]","{""33529851"":{""retired"":{""id"":44300312,""workflow_id"":11170,""classifications_count"":1,""created_at"":""2019-05-17T17:10:31.952Z"",""updated_at"":""2019-05-18T21:25:29.484Z"",""retired_at"":""2019-05-18T21:25:29.477Z"",""subject_id"":33529851,""retirement_reason"":""classification_count""},"""":""18"",""X"":""pch_f_253080_HD.png"",""image"":""pch_f_253080.png"",""id"":""253080""}}",33529851
166478736,mantes,1874195,bdc3d7499dd92cfcda75,11170,PCH_seco_faltantes_rev,1.1,2019-05-18 21:25:58 UTC,,,"{""source"":""api"",""session"":""c48ce039eab6872229ab6effbeb6c48eca6f04dead49dd0afedc30664a72e9cd"",""viewport"":{""width"":1366,""height"":657},""started_at"":""2019-05-18T21:25:26.400Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-05-18T21:25:55.995Z"",""live_project"":true,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":820,""clientHeight"":580,""naturalWidth"":1403,""naturalHeight"":992},{""clientWidth"":700,""clientHeight"":494,""naturalWidth"":700,""naturalHeight"":494}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-05-18T20:56:33.669Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21414""}","[{""task"":""T0"",""task_label"":""Clasificar el segmento"",""value"":""TF perdida 1998-2006""}]","{""33529835"":{""retired"":{""id"":44300321,""workflow_id"":11170,""classifications_count"":1,""created_at"":""2019-05-17T17:10:32.499Z"",""updated_at"":""2019-05-18T21:25:59.101Z"",""retired_at"":""2019-05-18T21:25:59.092Z"",""subject_id"":33529835,""retirement_reason"":""classification_count""},"""":""6"",""X"":""pch_f_182561_HD.png"",""image"":""pch_f_182561.png"",""id"":""182561""}}",33529835
166478774,mantes,1874195,bdc3d7499dd92cfcda75,11170,PCH_seco_faltantes_rev,1.1,2019-05-18 21:26:15 UTC,,,"{""source"":""api"",""session"":""c48ce039eab6872229ab6effbeb6c48eca6f04dead49dd0afedc30664a72e9cd"",""viewport"":{""width"":1366,""height"":657},""started_at"":""2019-05-18T21:25:56.012Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-05-18T21:26:13.119Z"",""live_project"":true,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":820,""clientHeight"":580,""naturalWidth"":1403,""naturalHeight"":992},{""clientWidth"":700,""clientHeight"":494,""naturalWidth"":700,""naturalHeight"":494}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-05-18T20:56:33.669Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21414""}","[{""task"":""T0"",""task_label"":""Clasificar el segmento"",""value"":""TF perdida 1998-2006""}]","{""33529844"":{""retired"":{""id"":44300337,""workflow_id"":11170,""classifications_count"":1,""created_at"":""2019-05-17T17:10:35.490Z"",""updated_at"":""2019-05-18T21:26:16.011Z"",""retired_at"":""2019-05-18T21:26:16.002Z"",""subject_id"":33529844,""retirement_reason"":""classification_count""},"""":""13"",""X"":""pch_f_225262_HD.png"",""image"":""pch_f_225262.png"",""id"":""225262""}}",33529844
166478829,mantes,1874195,bdc3d7499dd92cfcda75,11170,PCH_seco_faltantes_rev,1.1,2019-05-18 21:26:36 UTC,,,"{""source"":""api"",""session"":""c48ce039eab6872229ab6effbeb6c48eca6f04dead49dd0afedc30664a72e9cd"",""viewport"":{""width"":1366,""height"":657},""started_at"":""2019-05-18T21:26:13.137Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-05-18T21:26:33.772Z"",""live_project"":true,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":820,""clientHeight"":580,""naturalWidth"":1403,""naturalHeight"":992},{""clientWidth"":700,""clientHeight"":494,""naturalWidth"":700,""naturalHeight"":494}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-05-18T20:56:33.669Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21414""}","[{""task"":""T0"",""task_label"":""Clasificar el segmento"",""value"":""TF perdida 1998-2006""}]","{""33529859"":{""retired"":{""id"":44300297,""workflow_id"":11170,""classifications_count"":1,""created_at"":""2019-05-17T17:10:20.056Z"",""updated_at"":""2019-05-18T21:26:41.490Z"",""retired_at"":""2019-05-18T21:26:41.475Z"",""subject_id"":33529859,""retirement_reason"":""classification_count""},"""":""24"",""X"":""pch_f_264267_HD.png"",""image"":""pch_f_264267.png"",""id"":""264267""}}",33529859
166478875,mantes,1874195,bdc3d7499dd92cfcda75,11170,PCH_seco_faltantes_rev,1.1,2019-05-18 21:26:56 UTC,,,"{""source"":""api"",""session"":""c48ce039eab6872229ab6effbeb6c48eca6f04dead49dd0afedc30664a72e9cd"",""viewport"":{""width"":1366,""height"":657},""started_at"":""2019-05-18T21:26:33.794Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-05-18T21:26:53.761Z"",""live_project"":true,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":820,""clientHeight"":580,""naturalWidth"":1403,""naturalHeight"":992},{""clientWidth"":700,""clientHeight"":494,""naturalWidth"":700,""naturalHeight"":494}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-05-18T20:56:33.669Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21414""}","[{""task"":""T0"",""task_label"":""Clasificar el segmento"",""value"":""OT estable""}]","{""33529836"":{""retired"":{""id"":44300377,""workflow_id"":11170,""classifications_count"":1,""created_at"":""2019-05-17T17:11:13.271Z"",""updated_at"":""2019-05-18T21:26:59.075Z"",""retired_at"":""2019-05-18T21:26:59.047Z"",""subject_id"":33529836,""retirement_reason"":""classification_count""},"""":""7"",""X"":""pch_f_184687_HD.png"",""image"":""pch_f_184687.png"",""id"":""184687""}}",33529836
166478937,mantes,1874195,bdc3d7499dd92cfcda75,11170,PCH_seco_faltantes_rev,1.1,2019-05-18 21:27:21 UTC,,,"{""source"":""api"",""session"":""c48ce039eab6872229ab6effbeb6c48eca6f04dead49dd0afedc30664a72e9cd"",""viewport"":{""width"":1366,""height"":657},""started_at"":""2019-05-18T21:26:54.231Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-05-18T21:27:18.341Z"",""live_project"":true,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":820,""clientHeight"":580,""naturalWidth"":1403,""naturalHeight"":992},{""clientWidth"":700,""clientHeight"":494,""naturalWidth"":700,""naturalHeight"":494}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-05-18T20:56:33.669Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21414""}","[{""task"":""T0"",""task_label"":""Clasificar el segmento"",""value"":""TF perdida 2006-2013""}]","{""33529826"":{""retired"":{""id"":44300302,""workflow_id"":11170,""classifications_count"":1,""created_at"":""2019-05-17T17:10:20.322Z"",""updated_at"":""2019-05-18T21:27:21.199Z"",""retired_at"":""2019-05-18T21:27:21.189Z"",""subject_id"":33529826,""retirement_reason"":""classification_count""},"""":""1"",""X"":""pch_f_159495_HD.png"",""image"":""pch_f_159495.png"",""id"":""159495""}}",33529826
166478976,mantes,1874195,bdc3d7499dd92cfcda75,11170,PCH_seco_faltantes_rev,1.1,2019-05-18 21:27:36 UTC,,,"{""source"":""api"",""session"":""c48ce039eab6872229ab6effbeb6c48eca6f04dead49dd0afedc30664a72e9cd"",""viewport"":{""width"":1366,""height"":657},""started_at"":""2019-05-18T21:27:18.358Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-05-18T21:27:33.940Z"",""live_project"":true,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":820,""clientHeight"":580,""naturalWidth"":1403,""naturalHeight"":992},{""clientWidth"":700,""clientHeight"":494,""naturalWidth"":700,""naturalHeight"":494}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-05-18T21:26:56.311Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21414""}","[{""task"":""T0"",""task_label"":""Clasificar el segmento"",""value"":""OTF perdida 1998-2006""}]","{""33529852"":{""retired"":{""id"":44300306,""workflow_id"":11170,""classifications_count"":1,""created_at"":""2019-05-17T17:10:31.783Z"",""updated_at"":""2019-05-18T21:27:36.829Z"",""retired_at"":""2019-05-18T21:27:36.820Z"",""subject_id"":33529852,""retirement_reason"":""classification_count""},"""":""19"",""X"":""pch_f_254549_HD.png"",""image"":""pch_f_254549.png"",""id"":""254549""}}",33529852
